Stationsname,Stationscode,Stationsname,Schadstoff,Einheit,dataGroup,Jahr-2014,Jahr-2015,TYPE_OF_STATION,TYPE_OF_AREA,Länge,Breite,Stadt,id,c-2014,c-2015
Münster-Geist,DENW095,Münster-Geist,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,20.3084,19.5535,Hintergrund,städtisches Gebiet,7.611581,51.936547,Münster,31,20.3084,19.5535
Mönchengladbach Düsseldorfer Straße,DENW100,Mönchengladbach Düsseldorfer Straße,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,22.7851,22.0625,Verkehr,städtisches Gebiet,6.458842,51.169967,Mönchengladbach,32,22.7851,22.0625
Dortmund Steinstraße,DENW101,Dortmund Steinstraße,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,39.4701,38.7078,Verkehr,städtisches Gebiet,7.464347,51.519639,Dortmund,33,39.4701,38.7078
Duisburg Kardinal-Galen-Straße,DENW112,Duisburg Kardinal-Galen-Straße,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,36.7491,37.3436,Verkehr,städtisches Gebiet,6.771801,51.437708,Duisburg,34,36.7491,37.3436
Duisburg Kardinal-Galen-Straße,DENW112,Duisburg Kardinal-Galen-Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,39.6556,38.7056,Verkehr,städtisches Gebiet,6.771801,51.437708,Duisburg,35,39.6556,38.7056
Wuppertal-Langerfeld,DENW114,Wuppertal-Langerfeld,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,24.4538,24.1663,Hintergrund,städtisches Gebiet,7.231895,51.277647,Wuppertal,36,24.4538,24.1663
Krefeld (Hafen),DENW116,Krefeld (Hafen),Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,31.3943,28.4979,Industrie,vorstädtisches Gebiet,6.670195,51.342561,Krefeld,37,31.3943,28.4979
Hagen Graf-von-Galen-Ring,DENW133,Hagen Graf-von-Galen-Ring,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,53.4175,48.5221,Verkehr,städtisches Gebiet,7.46353,51.362829,Hagen,38,53.4175,48.5221
Essen Gladbecker Straße,DENW134,Essen Gladbecker Straße,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,45.452,43.4515,Verkehr,städtisches Gebiet,7.005278,51.477931,Essen,39,45.452,43.4515
Essen Gladbecker Straße,DENW134,Essen Gladbecker Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,48.0141,44.0482,Verkehr,städtisches Gebiet,7.005278,51.477931,Essen,40,48.0141,44.0482
Dortmund Brackeler Straße,DENW136,Dortmund Brackeler Straße,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,52.0048,49.1824,Verkehr,städtisches Gebiet,7.483597,51.523567,Dortmund,41,52.0048,49.1824
Dortmund Brackeler Straße,DENW136,Dortmund Brackeler Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,50.8613,48.2315,Verkehr,städtisches Gebiet,7.483597,51.523567,Dortmund,42,50.8613,48.2315
Hagen Wehringhauser Straße,DENW137,Hagen Wehringhauser Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,34.5788,25.2484,Verkehr,städtisches Gebiet,7.453887,51.354904,Hagen,43,34.5788,25.2484
Köln Justinianstraße,DENW148,Köln Justinianstraße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,54.8196,53.6781,Verkehr,städtisches Gebiet,6.978026,50.938542,Köln,44,54.8196,53.6781
Köln Neumarkt,DENW151,Köln Neumarkt,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,55.9926,51.1308,Verkehr,städtisches Gebiet,6.947953,50.935545,Köln,45,55.9926,51.1308
Paderborn Bahnhofstraße,DENW157,Paderborn Bahnhofstraße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,49.871,47.0178,Verkehr,städtisches Gebiet,8.744098,51.714573,Paderborn,46,49.871,47.0178
Paderborn Friedrichstraße 29,DENW158,Paderborn Friedrichstraße 29,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,49.5985,50.2455,Verkehr,städtisches Gebiet,8.747085,51.718696,Paderborn,47,49.5985,50.2455
Essen Alfredstraße 9/11,DENW161,Essen Alfredstraße 9/11,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,53.4923,48.2558,Verkehr,städtisches Gebiet,7.004406,51.440205,Essen,48,53.4923,48.2558
Essen Brückstraße,DENW162,Essen Brückstraße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,43.6961,42.1659,Verkehr,städtisches Gebiet,7.00111,51.38818,Essen,49,43.6961,42.1659
Mönchengladbach Aachener Straße 426/428,DENW165,Mönchengladbach Aachener Straße 426/428,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,43.66,41.5725,Verkehr,städtisches Gebiet,6.409975,51.182463,Mönchengladbach,50,43.66,41.5725
Remscheid Freiheitstraße,DENW166,Remscheid Freiheitstraße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,44.4047,40.9737,Verkehr,städtisches Gebiet,7.18192,51.178034,Remscheid,51,44.4047,40.9737
Essen In der Baumschule,DENW169,Essen In der Baumschule,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,29.6742,28.5319,Hintergrund,städtisches Gebiet,7.005478,51.478487,Essen,52,29.6742,28.5319
Essen Hombrucher Straße 21/23,DENW171,Essen Hombrucher Straße 21/23,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,55.351,-999,Verkehr,städtisches Gebiet,7.047134,51.457314,Essen,53,55.351,
Neuss Friedrichstraße 29,DENW172,Neuss Friedrichstraße 29,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,45.4505,41.4916,Verkehr,städtisches Gebiet,6.692515,51.193975,Neuss,54,45.4505,41.4916
Bonn Reuterstraße 24,DENW175,Bonn Reuterstraße 24,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,52.4489,50.4656,Verkehr,städtisches Gebiet,7.097058,50.722581,Bonn,55,52.4489,50.4656
Bonn Bornheimer Straße 35a,DENW176,Bonn Bornheimer Straße 35a,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,43.0775,41.1307,Verkehr,städtisches Gebiet,7.087619,50.736963,Bonn,56,43.0775,41.1307
Aachen Adalbertsteinweg,DENW178,Aachen Adalbertsteinweg,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,47.4674,44.3464,Verkehr,städtisches Gebiet,6.097338,50.774694,Aachen,57,47.4674,44.3464
Schwerte,DENW179,Schwerte,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,21.6637,21.9459,Hintergrund,städtisches Gebiet,7.582295,51.448762,Schwerte,58,21.6637,21.9459
Warstein,DENW181,Warstein,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,12.1024,11.9187,Industrie,städtisches Gebiet,8.360714,51.443012,Warstein,59,12.1024,11.9187
Dortmund B1 Westfalendamm,DENW184,Dortmund B1 Westfalendamm,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,44.1499,41.6144,Verkehr,städtisches Gebiet,7.503074,51.504083,Dortmund,60,44.1499,41.6144
Dortmund B1 Rheinlanddamm,DENW185,Dortmund B1 Rheinlanddamm,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,47.5473,46.4173,Verkehr,städtisches Gebiet,7.480949,51.500589,Dortmund,61,47.5473,46.4173
Bielefeld Stapenhorststraße 59,DENW186,Bielefeld Stapenhorststraße 59,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,37.4714,-,Verkehr,städtisches Gebiet,8.521576,52.026236,Bielefeld,62,37.4714,
Mülheim Aktienstraße 152/154,DENW187,Mülheim Aktienstraße 152/154,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,45.477,41.464,Verkehr,städtisches Gebiet,6.896149,51.441164,Mülheim,63,45.477,41.464
Oberhausen Mülheimer Straße 117,DENW188,Oberhausen Mülheimer Straße 117,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,54.9467,52.5808,Verkehr,städtisches Gebiet,6.863657,51.474971,Oberhausen,64,54.9467,52.5808
Wuppertal Gathe,DENW189,Wuppertal Gathe,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,51.0235,51.4778,Verkehr,städtisches Gebiet,7.147401,51.260681,Wuppertal,65,51.0235,51.4778
Hamm Münsterstraße,DENW195,Hamm Münsterstraße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,40.9083,38.7434,Verkehr,städtisches Gebiet,7.809711,51.689266,Hamm,66,40.9083,38.7434
Bielefeld Detmolder Straße,DENW200,Bielefeld Detmolder Straße,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,-,30.6908,Verkehr,städtisches Gebiet,8.552804,52.005624,Bielefeld,67,,30.6908
Bottrop Peterstraße,DENW201,Bottrop Peterstraße,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,37.6842,-,Verkehr,städtisches Gebiet,6.924268,51.519262,Bottrop,68,37.6842,
Herne Recklinghauser Straße,DENW203,Herne Recklinghauser Straße,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,45.6822,41.422,Verkehr,städtisches Gebiet,7.150186,51.543141,Herne,69,45.6822,41.422
Aachen Wilhelmstraße,DENW207,Aachen Wilhelmstraße,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,49.8188,50.1776,Verkehr,städtisches Gebiet,6.095775,50.773131,Aachen,70,49.8188,50.1776
Aachen Wilhelmstraße,DENW207,Aachen Wilhelmstraße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,56.9322,53.8111,Verkehr,städtisches Gebiet,6.095775,50.773131,Aachen,71,56.9322,53.8111
Gelsenkirchen Kurt-Schumacher-Straße,DENW208,Gelsenkirchen Kurt-Schumacher-Straße,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,51.4432,49.8875,Verkehr,städtisches Gebiet,7.084597,51.527883,Gelsenkirchen,72,51.4432,49.8875
Oberhausen Mülheimer Straße 116,DENW209,Oberhausen Mülheimer Straße 116,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,50.4641,46.4827,Verkehr,städtisches Gebiet,6.86396,51.475005,Oberhausen,73,50.4641,46.4827
Erwitte Soester Straße 9A,DENW210,Erwitte Soester Straße 9A,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,39.3602,35.0641,Verkehr,städtisches Gebiet,8.334714,51.611676,Erwitte,74,39.3602,35.0641
Köln Clevischer Ring 3,DENW211,Köln Clevischer Ring 3,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,63.3006,66.2804,Verkehr,städtisches Gebiet,7.00459,50.962857,Köln,75,63.3006,66.2804
Köln Turiner Straße,DENW212,Köln Turiner Straße,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,46.9824,46.3434,Verkehr,städtisches Gebiet,6.957701,50.947367,Köln,76,46.9824,46.3434
Overath Hauptstraße 55,DENW213,Overath Hauptstraße 55,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,46.2041,44.5233,Verkehr,städtisches Gebiet,7.285858,50.932806,Overath,77,46.2041,44.5233
Essen-Frohnhausen,DENW215,Essen-Frohnhausen,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,51.2595,49.6196,Verkehr,städtisches Gebiet,6.975815,51.443197,Essen,78,51.2595,49.6196
Düsseldorf-Bilk,DENW216,Düsseldorf-Bilk,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,59.826,56.2848,Verkehr,städtisches Gebiet,6.776388,51.202464,Düsseldorf,79,59.826,56.2848
Köln-Weiden,DENW219,Köln-Weiden,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,56.2578,52.0837,Verkehr,städtisches Gebiet,6.835109,50.938052,Köln,80,56.2578,52.0837
Halle (Westfalen) Lange Straße,DENW222,Halle (Westfalen) Lange Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,47.9481,39.9982,Verkehr,städtisches Gebiet,8.360942,52.061461,Halle,81,47.9481,39.9982
Gevelsberg Hagener Straße,DENW225,Gevelsberg Hagener Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-999,35.5119,Verkehr,städtisches Gebiet,7.344286,51.320635,Gevelsberg,82,,35.5119
Bielefeld Stapenhorststraße 42,DENW228,Bielefeld Stapenhorststraße 42,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,42.1824,40.576,Verkehr,städtisches Gebiet,8.522293,52.02596,Bielefeld,83,42.1824,40.576
Bönen Bönener Straße,DENW230,Bönen Bönener Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,42.8484,38.176,Verkehr,städtisches Gebiet,7.750195,51.61074,Bönen,84,42.8484,38.176
Langenfeld Schneiderstraße,DENW232,Langenfeld Schneiderstraße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,44.5064,40.6817,Verkehr,städtisches Gebiet,6.96917,51.120018,Langenfeld,85,44.5064,40.6817
Witten-Zentrum,DENW239,Witten-Zentrum,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-999,42.0001,Verkehr,städtisches Gebiet,7.337297,51.438218,Witten,86,,42.0001
Essen-Schuir (LANUV),DENW247,Essen-Schuir (LANUV),Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,30.5108,33.4138,Hintergrund,vorstädtisches Gebiet,6.965643,51.406968,Essen,87,30.5108,33.4138
Essen-Schuir (LANUV),DENW247,Essen-Schuir (LANUV),Stickstoffdioxid,µg/m³,diskontinuierliche Messung,29.9486,30.7621,Hintergrund,vorstädtisches Gebiet,6.965643,51.406968,Essen,88,29.9486,30.7621
Köln-Junkersdorf Statthalterhofweg 70,DENW249,Köln-Junkersdorf Statthalterhofweg 70,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,38.0401,34.9115,Verkehr,städtisches Gebiet,6.857614,50.931615,Köln,89,38.0401,34.9115
Köln-Junkersdorf Jungbluthbrücke,DENW250,Köln-Junkersdorf Jungbluthbrücke,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,36.6912,-,Verkehr,städtisches Gebiet,6.85028,50.93095,Köln,90,36.6912,
Krefeld Kölner Straße 209,DENW251,Krefeld Kölner Straße 209,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,40.9222,37.2832,Verkehr,städtisches Gebiet,6.574775,51.317847,Krefeld,91,40.9222,37.2832
Krefeld Oranierring,DENW252,Krefeld Oranierring,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,42.1809,37.8464,Verkehr,städtisches Gebiet,6.553999,51.340374,Krefeld,92,42.1809,37.8464
Duisburg Friedrich-Ebert-Straße 30,DENW253,Duisburg Friedrich-Ebert-Straße 30,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,39.4348,36.3496,Verkehr,städtisches Gebiet,6.711915,51.411535,Duisburg,93,39.4348,36.3496
Hagen Enneper Straße,DENW255,Hagen Enneper Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,35.7397,34.7712,Verkehr,städtisches Gebiet,7.395867,51.339466,Hagen,94,35.7397,34.7712
Mönchengladbach Friedrich-Ebert-Straße,DENW259,Mönchengladbach Friedrich-Ebert-Straße,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,35.9242,32.0481,Verkehr,städtisches Gebiet,6.439975,51.169437,Mönchengladbach,95,35.9242,32.0481
Münster Weseler Straße,DENW260,Münster Weseler Straße,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,39.3455,38.9064,Verkehr,städtisches Gebiet,7.619387,51.953267,Münster,96,39.3455,38.9064
Münster Weseler Straße,DENW260,Münster Weseler Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,44.395,43.3948,Verkehr,städtisches Gebiet,7.619387,51.953267,Münster,97,44.395,43.3948
Dinslaken Hans-Böckler-Straße 9,DENW262,Dinslaken Hans-Böckler-Straße 9,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,37.6751,35.5719,Verkehr,städtisches Gebiet,6.741891,51.562254,Dinslaken,98,37.6751,35.5719
Düren Euskirchener Straße,DENW266,Düren Euskirchener Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,63.5832,61.3109,Verkehr,städtisches Gebiet,6.494618,50.80413,Düren,99,63.5832,61.3109
Hürth Luxemburger Straße 344,DENW267,Hürth Luxemburger Straße 344,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,47.359,45.0162,Verkehr,städtisches Gebiet,6.889934,50.879855,Hürth,100,47.359,45.0162
Münster Steinfurter Straße 11,DENW268,Münster Steinfurter Straße 11,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,38.323,37.6803,Verkehr,städtisches Gebiet,7.613536,51.968324,Münster,101,38.323,37.6803
Münster Bült,DENW269,Münster Bült,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,46.3454,43.74,Verkehr,städtisches Gebiet,7.631364,51.963339,Münster,102,46.3454,43.74
Siegen Frankfurter Straße,DENW272,Siegen Frankfurter Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,39.4575,38.0456,Verkehr,städtisches Gebiet,8.026075,50.870851,Siegen,103,39.4575,38.0456
Dinslaken Hünxer Straße,DENW275,Dinslaken Hünxer Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,44.8867,41.5348,Verkehr,städtisches Gebiet,6.743404,51.563935,Dinslaken,104,44.8867,41.5348
Essen Krayer Straße 213,DENW277,Essen Krayer Straße 213,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,46.0859,44.2154,Verkehr,städtisches Gebiet,7.080298,51.465642,Essen,105,46.0859,44.2154
Recklinghausen Kaiserwall,DENW279,Recklinghausen Kaiserwall,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-,-777,Verkehr,städtisches Gebiet,7.201686,51.613624,Recklinghausen,106,,
Hagen Märkischer Ring 85,DENW281,Hagen Märkischer Ring 85,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,51.5295,49.1775,Verkehr,städtisches Gebiet,7.477383,51.360378,Hagen,107,51.5295,49.1775
Eschweiler Indestraße,DENW287,Eschweiler Indestraße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,44.2058,42.6089,Verkehr,städtisches Gebiet,6.264315,50.820557,Eschweiler,108,44.2058,42.6089
Neuss Krefelder Straße,DENW289,Neuss Krefelder Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-999,42.4003,Verkehr,ländliches Gebiet,6.685209,51.202242,Neuss,109,,42.4003
Neuss Batteriestraße,DENW290,Neuss Batteriestraße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,47.4312,43.9386,Verkehr,städtisches Gebiet,6.693266,51.201385,Neuss,110,47.4312,43.9386
Mettmann Breite Straße 10,DENW291,Mettmann Breite Straße 10,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,43.7922,41.3463,Verkehr,städtisches Gebiet,6.978922,51.249869,Mettmann,111,43.7922,41.3463
Schwerte Hörder Straße,DENW292,Schwerte Hörder Straße,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,45.49,-,Verkehr,städtisches Gebiet,7.56363,51.44654,Schwerte,112,45.49,
Dinslaken Wilhelm-Lantermann-Straße 33,DENW293,Dinslaken Wilhelm-Lantermann-Straße 33,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,39.0054,34.7779,Verkehr,städtisches Gebiet,6.740467,51.564642,Dinslaken,113,39.0054,34.7779
Emmerich-Elten Schmidtstraße 3,DENW294,Emmerich-Elten Schmidtstraße 3,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,36.3481,-888,Verkehr,städtisches Gebiet,6.16048,51.8724,Emmerich,114,36.3481,
Recklinghausen Bochumer Straße,DENW296,Recklinghausen Bochumer Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,41.2341,37.4148,Verkehr,städtisches Gebiet,7.213339,51.577208,Recklinghausen,115,41.2341,37.4148
Köln-Meschenich Brühler Landstraße,DENW297,Köln-Meschenich Brühler Landstraße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,42.515,40.0065,Verkehr,vorstädtisches Gebiet,6.924825,50.858997,Köln,116,42.515,40.0065
Gladbeck Grabenstraße 42,DENW299,Gladbeck Grabenstraße 42,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,43.8603,40.8552,Verkehr,ländliches Gebiet,6.997653,51.569886,Gladbeck,117,43.8603,40.8552
Köln Dellbrücker Hauptstraße,DENW303,Köln Dellbrücker Hauptstraße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,41.9844,40.2981,Verkehr,städtisches Gebiet,7.071003,50.978208,Köln,118,41.9844,40.2981
